customer_id,company_id,full_name,email,phone,segment,city,country,created_at
1,2,Client 1,client1@horizontech.demo,+1-555-1001,SME,Calgary,Canada,2025-11-10
2,2,Client 2,client2@horizontech.demo,+1-555-1002,Retail,Toronto,Canada,2025-10-02
3,2,Client 3,client3@horizontech.demo,+1-555-1003,SME,Toronto,Canada,2025-10-18
4,2,Client 4,client4@horizontech.demo,+1-555-1004,SME,Toronto,Canada,2025-10-15
5,2,Client 5,client5@horizontech.demo,+1-555-1005,SME,Ottawa,Canada,2025-11-17
6,2,Client 6,client6@horizontech.demo,+1-555-1006,Retail,Ottawa,Canada,2025-11-13
7,2,Client 7,client7@horizontech.demo,+1-555-1007,Retail,Hamilton,Canada,2025-11-27
8,2,Client 8,client8@horizontech.demo,+1-555-1008,Retail,Toronto,Canada,2025-10-06
9,2,Client 9,client9@horizontech.demo,+1-555-1009,SME,Vancouver,Canada,2025-10-28
10,2,Client 10,client10@horizontech.demo,+1-555-1010,SME,Toronto,Canada,2025-10-02
11,2,Client 11,client11@horizontech.demo,+1-555-1011,SME,Toronto,Canada,2025-10-14
12,2,Client 12,client12@horizontech.demo,+1-555-1012,Retail,Montreal,Canada,2025-11-02
13,2,Client 13,client13@horizontech.demo,+1-555-1013,Retail,Toronto,Canada,2025-10-02
14,2,Client 14,client14@horizontech.demo,+1-555-1014,Retail,Toronto,Canada,2025-10-13
15,2,Client 15,client15@horizontech.demo,+1-555-1015,Retail,Calgary,Canada,2025-11-11
16,2,Client 16,client16@horizontech.demo,+1-555-1016,Corporate,Montreal,Canada,2025-11-04
17,2,Client 17,client17@horizontech.demo,+1-555-1017,Corporate,Toronto,Canada,2025-10-15
18,2,Client 18,client18@horizontech.demo,+1-555-1018,Corporate,Calgary,Canada,2025-11-07
19,2,Client 19,client19@horizontech.demo,+1-555-1019,SME,Edmonton,Canada,2025-11-21
20,2,Client 20,client20@horizontech.demo,+1-555-1020,SME,Toronto,Canada,2025-11-18
21,2,Client 21,client21@horizontech.demo,+1-555-1021,Corporate,Edmonton,Canada,2025-11-14
22,2,Client 22,client22@horizontech.demo,+1-555-1022,Corporate,Ottawa,Canada,2025-10-22
23,2,Client 23,client23@horizontech.demo,+1-555-1023,SME,Vancouver,Canada,2025-10-10
24,2,Client 24,client24@horizontech.demo,+1-555-1024,Corporate,Toronto,Canada,2025-11-18
25,2,Client 25,client25@horizontech.demo,+1-555-1025,SME,Quebec City,Canada,2025-10-07
26,2,Client 26,client26@horizontech.demo,+1-555-1026,SME,Vancouver,Canada,2025-10-25
27,2,Client 27,client27@horizontech.demo,+1-555-1027,Corporate,Toronto,Canada,2025-10-23
28,2,Client 28,client28@horizontech.demo,+1-555-1028,Corporate,Toronto,Canada,2025-11-08
29,2,Client 29,client29@horizontech.demo,+1-555-1029,SME,Winnipeg,Canada,2025-11-21
30,2,Client 30,client30@horizontech.demo,+1-555-1030,Corporate,Calgary,Canada,2025-11-16
31,2,Client 31,client31@horizontech.demo,+1-555-1031,SME,Edmonton,Canada,2025-11-04
32,2,Client 32,client32@horizontech.demo,+1-555-1032,Corporate,Ottawa,Canada,2025-11-29
33,2,Client 33,client33@horizontech.demo,+1-555-1033,Retail,Montreal,Canada,2025-10-06
34,2,Client 34,client34@horizontech.demo,+1-555-1034,Retail,Halifax,Canada,2025-10-19
35,2,Client 35,client35@horizontech.demo,+1-555-1035,Corporate,Vancouver,Canada,2025-11-09
36,2,Client 36,client36@horizontech.demo,+1-555-1036,SME,Montreal,Canada,2025-11-06
37,2,Client 37,client37@horizontech.demo,+1-555-1037,SME,Winnipeg,Canada,2025-11-15
38,2,Client 38,client38@horizontech.demo,+1-555-1038,Retail,Calgary,Canada,2025-10-03
39,2,Client 39,client39@horizontech.demo,+1-555-1039,Corporate,Winnipeg,Canada,2025-10-15
40,2,Client 40,client40@horizontech.demo,+1-555-1040,SME,Calgary,Canada,2025-10-06
41,2,Client 41,client41@horizontech.demo,+1-555-1041,SME,Ottawa,Canada,2025-11-25
42,2,Client 42,client42@horizontech.demo,+1-555-1042,Corporate,Toronto,Canada,2025-10-25
43,2,Client 43,client43@horizontech.demo,+1-555-1043,Retail,Toronto,Canada,2025-10-30
44,2,Client 44,client44@horizontech.demo,+1-555-1044,Corporate,Toronto,Canada,2025-11-23
45,2,Client 45,client45@horizontech.demo,+1-555-1045,Corporate,Toronto,Canada,2025-10-11
46,2,Client 46,client46@horizontech.demo,+1-555-1046,SME,Toronto,Canada,2025-10-23
47,2,Client 47,client47@horizontech.demo,+1-555-1047,Corporate,Toronto,Canada,2025-11-12
